person_id,keyword,paper_year
565,comportamento dos usuários,1998
565,www,1998
572,internet,1998
572,classificação semântica,1998
572,comportamento dos usuários,1998
572,www,1998
63,awareness,1998
63,trabalho cooperativo com suporte computadoriz,1998
63,interfaces para trabalho cooperativo,1998
63,cscw,1998
63,sistemas de apoio à tomada de decisão em grupo,1998
63,metáforas,1998
63,percepções do usuário,1998
79,awareness,1998
79,trabalho cooperativo com suporte computadoriz,1998
79,interfaces para trabalho cooperativo,1998
79,cscw,1998
79,sistemas de apoio à tomada de decisão em grupo,1998
79,metáforas,1998
79,percepções do usuário,1998
479,awareness,1998
479,trabalho cooperativo com suporte computadoriz,1998
479,interfaces para trabalho cooperativo,1998
479,cscw,1998
479,sistemas de apoio à tomada de decisão em grupo,1998
479,metáforas,1998
479,percepções do usuário,1998
534,awareness,1998
534,trabalho cooperativo com suporte computadoriz,1998
534,interfaces para trabalho cooperativo,1998
534,cscw,1998
534,sistemas de apoio à tomada de decisão em grupo,1998
534,metáforas,1998
534,percepções do usuário,1998
76,projeto de interfaces,1998
76,técnicas e ferramentas de especificação,1998
76,user action notation (uan),1998
187,projeto de interfaces,1998
187,técnicas e ferramentas de especificação,1998
187,user action notation (uan),1998
250,projeto de interfaces,1998
250,técnicas e ferramentas de especificação,1998
250,user action notation (uan),1998
286,projeto de interfaces,1998
286,técnicas e ferramentas de especificação,1998
286,user action notation (uan),1998
203,avaliação heurística,1998
203,métodos de avaliação de usabilidade de interfaces,1998
203,avaliação da interação homem-computador (ihc),1998
203,usabilidade,1998
289,avaliação heurística,1998
289,métodos de avaliação de usabilidade de interfaces,1998
289,avaliação da interação homem-computador (ihc),1998
289,usabilidade,1998
386,avaliação heurística,1998
386,métodos de avaliação de usabilidade de interfaces,1998
386,avaliação da interação homem-computador (ihc),1998
386,usabilidade,1998
9,animação por computador,1999
9,programação para o usuário final,1999
9,interfaces gráficas,1999
9,linguagens de programação,1999
117,animação por computador,1999
117,programação para o usuário final,1999
117,interfaces gráficas,1999
117,linguagens de programação,1999
323,animação por computador,1999
323,programação para o usuário final,1999
323,interfaces gráficas,1999
323,linguagens de programação,1999
94,interfaces não-convencionais,1999
94,realidade virtual,1999
190,interfaces não-convencionais,1999
190,realidade virtual,1999
238,interfaces não-convencionais,1999
238,realidade virtual,1999
321,interfaces não-convencionais,1999
321,realidade virtual,1999
353,interfaces não-convencionais,1999
353,realidade virtual,1999
385,interfaces não-convencionais,1999
385,realidade virtual,1999
399,comunicação,1999
399,design,1999
399,interface,1999
399,semiótica,1999
437,comunicação,1999
437,design,1999
437,interface,1999
437,semiótica,1999
396,call-center,1999
396,ergonomia,1999
396,serviços,1999
416,call-center,1999
416,ergonomia,1999
416,serviços,1999
435,call-center,1999
435,ergonomia,1999
435,serviços,1999
508,call-center,1999
508,ergonomia,1999
508,serviços,1999
27,semiótica computacional,1999
27,design,1999
27,análise de domínio,1999
27,interfaces,1999
399,semiótica computacional,1999
399,design,1999
399,análise de domínio,1999
399,interfaces,1999
573,voto eletrônico,1999
573,ergonomia,1999
573,interfaces humano-computador,1999
117,design auxiliado por computador,1999
117,design de interfaces,1999
117,interfaces multi-usuário,1999
117,engenharia semiótica,1999
469,design auxiliado por computador,1999
469,design de interfaces,1999
469,interfaces multi-usuário,1999
469,engenharia semiótica,1999
117,interação humano-computador,1999
117,engenharia semiótica,1999
117,usabilidade,1999
117,design de interfaces de usuário,1999
262,interação humano-computador,1999
262,engenharia semiótica,1999
262,usabilidade,1999
262,design de interfaces de usuário,1999
62,ergonomia,1999
62,integração,1999
62,interatividade e interação,1999
62,aprendizagem,1999
62,pedagogia,1999
62,usabilidade,1999
103,ergonomia,1999
103,integração,1999
103,interatividade e interação,1999
103,aprendizagem,1999
103,pedagogia,1999
103,usabilidade,1999
131,ergonomia,1999
131,integração,1999
131,interatividade e interação,1999
131,aprendizagem,1999
131,pedagogia,1999
131,usabilidade,1999
542,ergonomia,1999
542,integração,1999
542,interatividade e interação,1999
542,aprendizagem,1999
542,pedagogia,1999
542,usabilidade,1999
573,ergonomia,1999
573,integração,1999
573,interatividade e interação,1999
573,aprendizagem,1999
573,pedagogia,1999
573,usabilidade,1999
184,interfaces adaptativas,1999
184,geração automática,1999
184,recomendações ergonômicas,1999
184,fatores humanos,1999
184,interfaces adaptativas,1999
184,geração automática,1999
184,recomendações ergonômicas,1999
184,fatores humanos,1999
117,raciocínio abdutivo,1999
117,interação humano?computador,1999
117,metáfora,1999
117,metonímia,1999
117,engenharia semiótica,1999
520,raciocínio abdutivo,1999
520,interação humano?computador,1999
520,metáfora,1999
520,metonímia,1999
520,engenharia semiótica,1999
117,rupturas de comunicação,1999
117,design de ihc,1999
117,semiótica,1999
117,testes de usabilidade,1999
469,rupturas de comunicação,1999
469,design de ihc,1999
469,semiótica,1999
469,testes de usabilidade,1999
520,rupturas de comunicação,1999
520,design de ihc,1999
520,semiótica,1999
520,testes de usabilidade,1999
1,interfaces homem-máquina,1999
1,linguagem de interação,1999
1,interfaces para surdos,1999
1,linguagem de sinais,1999
1,sign writing,1999
6,interfaces homem-máquina,1999
6,linguagem de interação,1999
6,interfaces para surdos,1999
6,linguagem de sinais,1999
6,sign writing,1999
36,defesa,2000
36,recursos digitais,2000
36,intimidade,2000
36,auto-preservação,2000
27,avaliação,2000
27,interface,2000
27,meta-comunicação,2000
399,avaliação,2000
399,interface,2000
399,meta-comunicação,2000
149,sites de comércio eletrônico,2000
149,avaliação de usabilidade,2000
149,participação do usuário,2000
149,listas de verificação,2000
161,sites de comércio eletrônico,2000
161,avaliação de usabilidade,2000
161,participação do usuário,2000
161,listas de verificação,2000
573,sites de comércio eletrônico,2000
573,avaliação de usabilidade,2000
573,participação do usuário,2000
573,listas de verificação,2000
117,affordances,2000
117,communicability evaluation,2000
117,semiotic engineering,2000
469,affordances,2000
469,communicability evaluation,2000
469,semiotic engineering,2000
469,affordances,2000
469,communicability evaluation,2000
469,semiotic engineering,2000
546,affordances,2000
546,communicability evaluation,2000
546,semiotic engineering,2000
178,software educacional,2000
178,guidelines,2000
178,projeto de interfaces,2000
178,usabilidade,2000
289,software educacional,2000
289,guidelines,2000
289,projeto de interfaces,2000
289,usabilidade,2000
377,software educacional,2000
377,guidelines,2000
377,projeto de interfaces,2000
377,usabilidade,2000
404,software educacional,2000
404,guidelines,2000
404,projeto de interfaces,2000
404,usabilidade,2000
244,bate-papo,2000
244,comunicação mediada por computador,2000
244,internet,2000
264,bate-papo,2000
264,comunicação mediada por computador,2000
264,internet,2000
382,cognição,2000
382,recomendações ergonômicas,2000
382,interação humano-computador,2000
382,multimídia,2000
382,ergonomia de software,2000
428,cognição,2000
428,recomendações ergonômicas,2000
428,interação humano-computador,2000
428,multimídia,2000
428,ergonomia de software,2000
567,cognição,2000
567,recomendações ergonômicas,2000
567,interação humano-computador,2000
567,multimídia,2000
567,ergonomia de software,2000
428,interação humano-computador,2000
428,logging de software,2000
428,avaliação de usabilidade,2000
428,testes de usabilidade,2000
518,interação humano-computador,2000
518,logging de software,2000
518,avaliação de usabilidade,2000
518,testes de usabilidade,2000
117,sistemas de help online,2000
117,engenharia semiótica,2000
117,aplicações web,2000
419,sistemas de help online,2000
419,engenharia semiótica,2000
419,aplicações web,2000
419,sistemas de help online,2000
419,engenharia semiótica,2000
419,aplicações web,2000
520,sistemas de help online,2000
520,engenharia semiótica,2000
520,aplicações web,2000
117,scenarios,2000
117,semiotics,2000
117,user interface design,2000
117,web applications development,2000
120,scenarios,2000
120,semiotics,2000
120,user interface design,2000
120,web applications development,2000
520,scenarios,2000
520,semiotics,2000
520,user interface design,2000
520,web applications development,2000
573,objetos de interface homem-computador,2000
573,engenharia de usabilidade,2000
573,avaliação de usabilidade,2000
575,objetos de interface homem-computador,2000
575,engenharia de usabilidade,2000
575,avaliação de usabilidade,2000
399,design,2000
399,interface,2000
399,semiótica,2000
399,realidade virtual,2000
437,design,2000
437,interface,2000
437,semiótica,2000
437,realidade virtual,2000
106,interfaces humano-humano,2000
106,design centrado no usuário,2000
106,ambientes educacionais na web,2000
244,interfaces humano-humano,2000
244,design centrado no usuário,2000
244,ambientes educacionais na web,2000
342,interfaces humano-humano,2000
342,design centrado no usuário,2000
342,ambientes educacionais na web,2000
130,avaliação de websites,2000
130,usabilidade em websites,2000
488,avaliação de websites,2000
488,usabilidade em websites,2000
308,cores,2000
308,percepção de cores,2000
308,uso de cores em interfaces para a www,2000
386,cores,2000
386,percepção de cores,2000
386,uso de cores em interfaces para a www,2000
483,cores,2000
483,percepção de cores,2000
483,uso de cores em interfaces para a www,2000
118,sistemas de informação geográfica (sig),2001
118,interface como espaço de comunicação,2001
118,design de interface,2001
299,sistemas de informação geográfica (sig),2001
299,interface como espaço de comunicação,2001
299,design de interface,2001
399,sistemas de informação geográfica (sig),2001
399,interface como espaço de comunicação,2001
399,design de interface,2001
40,agents,2001
40,collaborative interfaces,2001
40,digital libraries,2001
40,group spaces,2001
40,personal spaces,2001
40,personalized interfaces,2001
98,agents,2001
98,collaborative interfaces,2001
98,digital libraries,2001
98,group spaces,2001
98,personal spaces,2001
98,personalized interfaces,2001
139,agents,2001
139,collaborative interfaces,2001
139,digital libraries,2001
139,group spaces,2001
139,personal spaces,2001
139,personalized interfaces,2001
259,agents,2001
259,collaborative interfaces,2001
259,digital libraries,2001
259,group spaces,2001
259,personal spaces,2001
259,personalized interfaces,2001
262,testes de comunicabilidade,2001
262,ferramentas de avaliação,2001
262,inspeção formal de usabilidade,2001
262,avaliação de interfaces de usuário,2001
531,testes de comunicabilidade,2001
531,ferramentas de avaliação,2001
531,inspeção formal de usabilidade,2001
531,avaliação de interfaces de usuário,2001
117,discourse structure,2001
117,hci analysis,2001
117,interaction model,2001
117,multiple-environment interfaces,2001
117,pragmatics,2001
117,semiotic engineering,2001
231,discourse structure,2001
231,hci analysis,2001
231,interaction model,2001
231,multiple-environment interfaces,2001
231,pragmatics,2001
231,semiotic engineering,2001
520,discourse structure,2001
520,hci analysis,2001
520,interaction model,2001
520,multiple-environment interfaces,2001
520,pragmatics,2001
520,semiotic engineering,2001
112,verificação de modelos,2001
112,modelos navegação,2001
112,avaliação de usabilidade,2001
377,verificação de modelos,2001
377,modelos navegação,2001
377,avaliação de usabilidade,2001
386,verificação de modelos,2001
386,modelos navegação,2001
386,avaliação de usabilidade,2001
455,verificação de modelos,2001
455,modelos navegação,2001
455,avaliação de usabilidade,2001
121,corporate portal,2001
121,human-computer interaction,2001
121,usability evaluation,2001
121,web interface,2001
312,domain-oriented application,2002
312,organizational semiotics,2002
312,participatory design,2002
399,domain-oriented application,2002
399,organizational semiotics,2002
399,participatory design,2002
399,domain-oriented application,2002
399,organizational semiotics,2002
399,participatory design,2002
492,domain-oriented application,2002
492,organizational semiotics,2002
492,participatory design,2002
28,criança,2002
28,internet,2002
28,semiótica organizacional,2002
28,design participativo,2002
399,criança,2002
399,internet,2002
399,semiótica organizacional,2002
399,design participativo,2002
137,cegueira,2002
137,interfaces de voz,2002
137,escrita,2002
91,scalable vector graphics,2002
91,svg,2002
91,xml,2002
91,zui,2002
283,scalable vector graphics,2002
283,svg,2002
283,xml,2002
283,zui,2002
453,scalable vector graphics,2002
453,svg,2002
453,xml,2002
453,zui,2002
129,avaliação,2004
129,interface humano-computador,2004
129,metodologia,2004
277,avaliação,2004
277,interface humano-computador,2004
277,metodologia,2004
318,avaliação,2004
318,interface humano-computador,2004
318,metodologia,2004
442,avaliação,2004
442,interface humano-computador,2004
442,metodologia,2004
3,telefones celulares,2004
3,computadores de mão,2004
3,ensaios de interação,2004
3,avaliação de usabilidade,2004
573,telefones celulares,2004
573,computadores de mão,2004
573,ensaios de interação,2004
573,avaliação de usabilidade,2004
390,avaliação heurística participativa,2004
399,avaliação heurística participativa,2004
5,interação com dispositivos móveis,2004
5,testes com usuários,2004
384,interação com dispositivos móveis,2004
384,testes com usuários,2004
419,interação com dispositivos móveis,2004
419,testes com usuários,2004
444,interação com dispositivos móveis,2004
444,testes com usuários,2004
36,meds,2004
36,métodos qualitativos,2004
36,usuários,2004
89,meds,2004
89,métodos qualitativos,2004
89,usuários,2004
148,meds,2004
148,métodos qualitativos,2004
148,usuários,2004
106,ambientes de educação a distância,2004
106,visualização de informação,2004
106,teleduc,2004
244,ambientes de educação a distância,2004
244,visualização de informação,2004
244,teleduc,2004
1,sistemas de fóruns de discussão,2004
1,recuperação de informação,2004
1,engenharia semiótica,2004
89,sistemas de fóruns de discussão,2004
89,recuperação de informação,2004
89,engenharia semiótica,2004
117,sistemas de fóruns de discussão,2004
117,recuperação de informação,2004
117,engenharia semiótica,2004
520,sistemas de fóruns de discussão,2004
520,recuperação de informação,2004
520,engenharia semiótica,2004
564,sistemas de fóruns de discussão,2004
564,recuperação de informação,2004
564,engenharia semiótica,2004
16,design de ihc,2004
16,sistemas de ajuda online,2004
16,engenharia semiótica,2004
38,design de ihc,2004
38,sistemas de ajuda online,2004
38,engenharia semiótica,2004
48,design de ihc,2004
48,sistemas de ajuda online,2004
48,engenharia semiótica,2004
417,design de ihc,2004
417,sistemas de ajuda online,2004
417,engenharia semiótica,2004
419,design de ihc,2004
419,sistemas de ajuda online,2004
419,engenharia semiótica,2004
66,relatos de experiências,2004
66,integração entre ihc e engenharia de software,2004
66,desenvolvimento de sistemas interativos,2004
377,relatos de experiências,2004
377,integração entre ihc e engenharia de software,2004
377,desenvolvimento de sistemas interativos,2004
44,planejamento,2004
44,reengenharia,2004
44,avaliação de usabilidade,2004
304,planejamento,2004
304,reengenharia,2004
304,avaliação de usabilidade,2004
371,planejamento,2004
371,reengenharia,2004
371,avaliação de usabilidade,2004
510,planejamento,2004
510,reengenharia,2004
510,avaliação de usabilidade,2004
118,sistemas agrícolas,2004
118,sistemas de informação geográfica,2004
118,interação humano-computador,2004
118,sig web,2004
299,sistemas agrícolas,2004
299,sistemas de informação geográfica,2004
299,interação humano-computador,2004
299,sig web,2004
399,sistemas agrícolas,2004
399,sistemas de informação geográfica,2004
399,interação humano-computador,2004
399,sig web,2004
470,aplicações extensíveis,2004
470,programação por demonstração,2004
470,uso de conhecimento prévio do domínio,2004
511,aplicações extensíveis,2004
511,programação por demonstração,2004
511,uso de conhecimento prévio do domínio,2004
113,tecnologias assistivas,2004
113,simulador de teclado,2004
113,teclado virtual,2004
170,tecnologias assistivas,2004
170,simulador de teclado,2004
170,teclado virtual,2004
244,tecnologias assistivas,2004
244,simulador de teclado,2004
244,teclado virtual,2004
381,tecnologias assistivas,2004
381,simulador de teclado,2004
381,teclado virtual,2004
418,tecnologias assistivas,2004
418,simulador de teclado,2004
418,teclado virtual,2004
541,tecnologias assistivas,2004
541,simulador de teclado,2004
541,teclado virtual,2004
117,avaliação de interfaces,2004
117,interfaces baseadas em mapas,2004
117,engenharia semiótica,2004
401,avaliação de interfaces,2004
401,interfaces baseadas em mapas,2004
401,engenharia semiótica,2004
367,design representations,2004
367,interaction modeling,2004
367,multidisciplinary design teams,2004
520,design representations,2004
520,interaction modeling,2004
520,multidisciplinary design teams,2004
184,multi-criteria decision analysis,2006
184,usability,2006
184,usability patterns,2006
245,multi-criteria decision analysis,2006
245,usability,2006
245,usability patterns,2006
313,multi-criteria decision analysis,2006
313,usability,2006
313,usability patterns,2006
85,communication-centered design,2006
85,interaction design,2006
85,semiotic engineering,2006
85,sketching,2006
85,streamlined approaches to hci design,2006
520,communication-centered design,2006
520,interaction design,2006
520,semiotic engineering,2006
520,sketching,2006
520,streamlined approaches to hci design,2006
568,communication-centered design,2006
568,interaction design,2006
568,semiotic engineering,2006
568,sketching,2006
568,streamlined approaches to hci design,2006
419,help systems,2006
419,interaction as conversation,2006
419,interaction model,2006
419,user interaction,2006
438,help systems,2006
438,interaction as conversation,2006
438,interaction model,2006
438,user interaction,2006
438,help systems,2006
438,interaction as conversation,2006
438,interaction model,2006
438,user interaction,2006
520,help systems,2006
520,interaction as conversation,2006
520,interaction model,2006
520,user interaction,2006
317,digital interactive tv,2006
317,human computer interaction,2006
399,digital interactive tv,2006
399,human computer interaction,2006
341,cognitive architectures,2006
341,critical systems,2006
341,hci design,2006
341,human error,2006
359,cognitive architectures,2006
359,critical systems,2006
359,hci design,2006
359,human error,2006
28,accessibility,2006
28,inclusive design,2006
28,participatory design,2006
28,universal design,2006
28,web engineering,2006
399,accessibility,2006
399,inclusive design,2006
399,participatory design,2006
399,universal design,2006
399,web engineering,2006
262,device independence,2006
262,multi-platform user interfaces,2006
262,user interface adaptability,2006
366,device independence,2006
366,multi-platform user interfaces,2006
366,user interface adaptability,2006
262,browserbased user interfaces,2006
262,model-based user interface development,2006
262,user interface components,2006
262,user interface specification methods and languages,2006
262,xml-based user interface description languages,2006
335,browserbased user interfaces,2006
335,model-based user interface development,2006
335,user interface components,2006
335,user interface specification methods and languages,2006
335,xml-based user interface description languages,2006
89,inspection methods,2006
89,qualitative methods,2006
89,semiotic engineering,2006
117,inspection methods,2006
117,qualitative methods,2006
117,semiotic engineering,2006
187,inspection methods,2006
187,qualitative methods,2006
187,semiotic engineering,2006
187,inspection methods,2006
187,qualitative methods,2006
187,semiotic engineering,2006
469,inspection methods,2006
469,qualitative methods,2006
469,semiotic engineering,2006
469,inspection methods,2006
469,qualitative methods,2006
469,semiotic engineering,2006
117,communicability evaluation,2006
117,evaluation methods,2006
117,hci inspection methods,2006
117,semiotic engineering,2006
344,communicability evaluation,2006
344,evaluation methods,2006
344,hci inspection methods,2006
344,semiotic engineering,2006
514,communicability evaluation,2006
514,evaluation methods,2006
514,hci inspection methods,2006
514,semiotic engineering,2006
514,communicability evaluation,2006
514,evaluation methods,2006
514,hci inspection methods,2006
514,semiotic engineering,2006
118,geographic information systems in the web,2006
118,human-computer interaction evaluation,2006
118,semiotic model,2006
299,geographic information systems in the web,2006
299,human-computer interaction evaluation,2006
299,semiotic model,2006
399,geographic information systems in the web,2006
399,human-computer interaction evaluation,2006
399,semiotic model,2006
213,lexical retrieve,2006
213,sign language,2006
213,sign lexicon,2006
374,lexical retrieve,2006
374,sign language,2006
374,sign lexicon,2006
90,information visualization,2006
90,search engines,2006
90,web visualization,2006
253,information visualization,2006
253,search engines,2006
253,web visualization,2006
107,hci,2006
107,multimodalidade,2006
107,interfaces do usuário,2006
107,integração de voz,2006
122,hci,2006
122,multimodalidade,2006
122,interfaces do usuário,2006
122,integração de voz,2006
181,action theory,2006
181,association rules,2006
181,cognitive engineering,2006
181,data mining,2006
181,human-computer interaction (hci),2006
181,semiotic engineering,2006
210,action theory,2006
210,association rules,2006
210,cognitive engineering,2006
210,data mining,2006
210,human-computer interaction (hci),2006
210,semiotic engineering,2006
326,action theory,2006
326,association rules,2006
326,cognitive engineering,2006
326,data mining,2006
326,human-computer interaction (hci),2006
326,semiotic engineering,2006
469,action theory,2006
469,association rules,2006
469,cognitive engineering,2006
469,data mining,2006
469,human-computer interaction (hci),2006
469,semiotic engineering,2006
572,action theory,2006
572,association rules,2006
572,cognitive engineering,2006
572,data mining,2006
572,human-computer interaction (hci),2006
572,semiotic engineering,2006
198,computer music,2006
198,cooperative music prototyping,2006
198,cscw,2006
198,human-computer interaction,2006
198,networked music,2006
268,computer music,2006
268,cooperative music prototyping,2006
268,cscw,2006
268,human-computer interaction,2006
268,networked music,2006
350,computer music,2006
350,cooperative music prototyping,2006
350,cscw,2006
350,human-computer interaction,2006
350,networked music,2006
377,computer music,2006
377,cooperative music prototyping,2006
377,cscw,2006
377,human-computer interaction,2006
377,networked music,2006
209,chat,2006
209,collaboration,2006
209,computer mediated communication,2006
209,coordination,2006
209,distance education,2006
209,language action,2006
244,chat,2006
244,collaboration,2006
244,computer mediated communication,2006
244,coordination,2006
244,distance education,2006
244,language action,2006
264,chat,2006
264,collaboration,2006
264,computer mediated communication,2006
264,coordination,2006
264,distance education,2006
264,language action,2006
478,chat,2006
478,collaboration,2006
478,computer mediated communication,2006
478,coordination,2006
478,distance education,2006
478,language action,2006
259,affective computing,2006
259,chat,2006
259,emoticons,2006
259,emotion models,2006
259,instant messaging,2006
300,affective computing,2006
300,chat,2006
300,emoticons,2006
300,emotion models,2006
300,instant messaging,2006
431,affective computing,2006
431,chat,2006
431,emoticons,2006
431,emotion models,2006
431,instant messaging,2006
579,affective computing,2006
579,chat,2006
579,emoticons,2006
579,emotion models,2006
579,instant messaging,2006
134,recommender systems,2006
134,virtual characters,2006
152,recommender systems,2006
152,virtual characters,2006
182,recommender systems,2006
182,virtual characters,2006
11,animated simulation,2006
11,programmig by demonstration,2006
15,animated simulation,2006
15,programmig by demonstration,2006
156,animated simulation,2006
156,programmig by demonstration,2006
395,animated simulation,2006
395,programmig by demonstration,2006
570,animated simulation,2006
570,programmig by demonstration,2006
341,interface patterns,2008
341,personas,2008
341,user modeling,2008
341,user profile,2008
457,interface patterns,2008
457,personas,2008
457,user modeling,2008
457,user profile,2008
126,online applications,2008
126,online services,2008
126,service science,2008
29,evaluation of multimodal interfaces,2008
29,multimodal user interfaces,2008
29,voice user interfaces,2008
29,web,2008
311,evaluation of multimodal interfaces,2008
311,multimodal user interfaces,2008
311,voice user interfaces,2008
311,web,2008
473,evaluation of multimodal interfaces,2008
473,multimodal user interfaces,2008
473,voice user interfaces,2008
473,web,2008
538,evaluation of multimodal interfaces,2008
538,multimodal user interfaces,2008
538,voice user interfaces,2008
538,web,2008
83,accessibility,2008
83,audio games,2008
83,haptics and gestures,2008
83,mobile games,2008
83,non-visual games,2008
83,semiotic engineering,2008
83,visually-impaired users,2008
117,accessibility,2008
117,audio games,2008
117,haptics and gestures,2008
117,mobile games,2008
117,non-visual games,2008
117,semiotic engineering,2008
117,visually-impaired users,2008
354,accessibility,2008
354,audio games,2008
354,haptics and gestures,2008
354,mobile games,2008
354,non-visual games,2008
354,semiotic engineering,2008
354,visually-impaired users,2008
215,classification systems,2008
215,communities of practice,2008
215,social web,2008
215,web collaborative systems,2008
276,classification systems,2008
276,communities of practice,2008
276,social web,2008
276,web collaborative systems,2008
446,classification systems,2008
446,communities of practice,2008
446,social web,2008
446,web collaborative systems,2008
192,aplicação semi-estruturada do método de inspeção,2008
358,aplicação semi-estruturada do método de inspeção,2008
469,aplicação semi-estruturada do método de inspeção,2008
317,artefatos digitais,2008
317,interação humano-computador,2008
317,design da interação,2008
317,tv digital interativa,2008
317,análise semiótica,2008
324,artefatos digitais,2008
324,interação humano-computador,2008
324,design da interação,2008
324,tv digital interativa,2008
324,análise semiótica,2008
399,artefatos digitais,2008
399,interação humano-computador,2008
399,design da interação,2008
399,tv digital interativa,2008
399,análise semiótica,2008
469,collaborative systems,2008
469,manas,2008
469,mediated communication,2008
469,semiotic engineering,2008
469,sociability,2008
469,social impact,2008
494,collaborative systems,2008
494,manas,2008
494,mediated communication,2008
494,semiotic engineering,2008
494,sociability,2008
494,social impact,2008
419,context awareness,2008
419,mobile computing,2008
444,context awareness,2008
444,mobile computing,2008
350,brazilian digital tv system,2008
350,digital tv,2008
350,sbtvd,2008
350,usability evaluation methodology,2008
377,brazilian digital tv system,2008
377,digital tv,2008
377,sbtvd,2008
377,usability evaluation methodology,2008
481,brazilian digital tv system,2008
481,digital tv,2008
481,sbtvd,2008
481,usability evaluation methodology,2008
17,contextual design,2008
17,interactive tv,2008
17,parallel design,2008
17,qualitative methods in design,2008
84,contextual design,2008
84,interactive tv,2008
84,parallel design,2008
84,qualitative methods in design,2008
88,contextual design,2008
88,interactive tv,2008
88,parallel design,2008
88,qualitative methods in design,2008
102,contextual design,2008
102,interactive tv,2008
102,parallel design,2008
102,qualitative methods in design,2008
142,contextual design,2008
142,interactive tv,2008
142,parallel design,2008
142,qualitative methods in design,2008
123,interface agents,2008
123,recommender systems,2008
182,interface agents,2008
182,recommender systems,2008
146,annotations,2008
146,interactive displays,2008
146,multi-layer systems,2008
146,strata,2008
146,synchronous collaboration,2008
146,telepointers,2008
259,annotations,2008
259,interactive displays,2008
259,multi-layer systems,2008
259,strata,2008
259,synchronous collaboration,2008
259,telepointers,2008
499,annotations,2008
499,interactive displays,2008
499,multi-layer systems,2008
499,strata,2008
499,synchronous collaboration,2008
499,telepointers,2008
485,cognitive authority,2008
485,folkauthority,2008
485,folksonomy,2008
485,information overload,2008
511,cognitive authority,2008
511,folkauthority,2008
511,folksonomy,2008
511,information overload,2008
154,curriculum,2008
154,hci education,2008
154,heuristic evaluation,2008
154,usability,2008
264,curriculum,2008
264,hci education,2008
264,heuristic evaluation,2008
264,usability,2008
413,curriculum,2008
413,hci education,2008
413,heuristic evaluation,2008
413,usability,2008
13,common sense,2008
13,e-learning,2008
13,patterns,2008
35,common sense,2008
35,e-learning,2008
35,patterns,2008
67,common sense,2008
67,e-learning,2008
67,patterns,2008
304,common sense,2008
304,e-learning,2008
304,patterns,2008
168,affect,2008
168,computer-mediated communication,2008
168,emotion,2008
440,affect,2008
440,computer-mediated communication,2008
440,emotion,2008
92,end-user programming,2008
92,middleware ginga,2008
92,interactive digital tv applications,2008
92,nested context language,2008
92,user studies,2008
92,end-user programming,2008
92,middleware ginga,2008
92,interactive digital tv applications,2008
92,nested context language,2008
92,user studies,2008
117,end-user programming,2008
117,middleware ginga,2008
117,interactive digital tv applications,2008
117,nested context language,2008
117,user studies,2008
361,end-user programming,2008
