,paper_id,paper_year,paper_title,paper_language,paper_num_authors,paper_theme,paper_acm_key,paper_acm_category,paper_acm_terms,paper_abstract_PT,paper_abstract_EN,paper_abstract_ES
10,4516,1998,Semiotically Based User Interfaces Design Languages,EN,3,,,,,,"Semiotic Engineering perceives interfaces as messages designers send to users. This message has an interaction model for syntax and the application?s functionality for semantics. In order to create these messages, designers need models, tools and techniques that allow them to express themselves. In this article, we propose that User Interface Design Languages (UIDL?s) in which designers can describe their message or part of it should be provided to them. We present two UIDL?s that support the designer in distinct levels of the design process, one for single-user interfaces and the other for multi-user interfaces.",
11,4517,1998,Classificão Semântica Automática de Documentos da WWW,PT-BR,4,,,,,"A cada dia que passa a Internet vem sendo acessada por uma parcela cada vez maior da populacão. Esse fato vem reforçar a observacão de que fatores sócio-culturais e geográficos influenciam fortemente o tr´afego de documentos na World Wide Web. Desta forma, a caracterizacão dos acessos à rede e uma melhor compreensão do comportamento dos usuários s?ao ferramentas essenciais para quaisquer tarefas de planejamento e pesquisa relacionadas `a WWW. Um componente importante dessa caracterizacão ´e a classificacão¸ semântica os documentos acessados, ou seja, a divisão dos acessos em categorias, cada uma associada a um assunto de interesse dos usuários. Este trabalho apresenta uma proposta para a classificacão semântica automática de p´aginas da World Wide Web. Esta proposta foi aplicada a logs do POP-MG (Ponto de Presença Internet em Minas Gerais) resultando em um universo de p´aginas classificadas correspondente a até 65% das p´aginas constantes dos logs.",,
12,4518,1998,Percepções do Usuário em um Ambiente de Trabalho Cooperativo para Apoio na Tomada de Decisão em Grupo,PT-BR,4,,,,,"Este artigo tem o objetivo de discutir algumas das interfaces de um ambiente integrado de trabalho cooperativo que tem por objetivo apoiar as necessidades de equipes envolvidas no desenvolvimento de produtos e serviços que se utilizem da filosofia de Engenharia Simultânea. O ambiente inclui módulos de: Agendamento de Reuniões; Préreunião; Tomada de Decisão; Vídeo Conferência; Organização e Registro de Raciocínio Lógico; Criação, Controle e Gerenciamento de Fluxo de Trabalho. O artigo apresenta parte das interfaces dos módulos de tomada de decisão e de vídeo conferência e discute as percepções e ""awareness"" que os usuários tem quando cooperando com outros colegas. O ambiente está sendo desenvolvido e implementado para a Web, em Java, e é baseado em componentes e um rigoroso processo de Engenharia de Software.",,
13,4519,1998,Uma Ferramenta Baseada em Tabelas UAN para Apoio à Modelagem de Interfaces,PT-BR,4,,,,,"A crescente complexidade dos sistemas interativos tem chamado a atenção dos projetistas para a importância da tarefa de especificação da interface. Dentre as principais técnicas de especificação de interfaces destaca-se a User Action Notation (UAN), que consiste numa linguagem simples, concisa, centrada nas tarefas e ações do usuário e apropriada para descrever interfaces de manipulação direta. Neste trabalho, apresenta-se uma ferramenta CASE, baseada no formalismo UAN, para apoiar a especificação de interfaces. Com esta ferramenta é permitida a definição de tarefas do usuário, tabelas que relacionam ações do usuário às respostas da interface, diagramas de transição de estados, diagramas de transição de tarefas e dicionário de dados. O sistema proposto possui uma estrutura modular para implementar cada uma dessas tarefas, onde o projetista, utilizando uma abordagem top-down, define a interface a partir de níveis mais altos de abstração até o nível de ações do usuário.",,
14,4520,1998,Estudo de Caso da Aplicação do Método de Avaliação Heurística em Um Projeto Multidisciplinar,PT-BR,3,,,,,"O desenvolvimento de software com usabilidade torna-se mais complexo quando a participação de consultores de um domínio de conhecimento se faz necessária, especialmente por dificuldades de comunicação entre os participantes da equipe. Nós sugerimos que se estes consultores fossem treinados para o teste de avaliação heurística eles poderiam aumentar a quantidade e melhorar a qualidade das suas sugestões nos projetos. Para comprovar esta hipótese, um conjunto de três experimentos foi conduzido: teste com usuários, avaliação heurística com especialistas em interface, e avaliação heurística com especialistas em um domínio de conhecimento treinados previamente para o teste. Os problemas identificados nos experimentos foram comparados com os previamente encontrados pela equipe multidisciplinar (projetistas e consultores) sem a utilização de técnicas de usabilidade. Os resultados indicaram um aumento quantitativo e qualitativo de informações sobre usabilidade quando os especialista em um domínio de conhecimento são treinados para o testes de avaliação heurística. Observou-se também que cada teste cobre porções distintas de problemas de usabilidade com a interface, e devem ser utilizados em conjunto para uma avaliação mais eficiente.",,
15,4521,1999,Users Perceptions of Integrated GUI + EUP Communicative Environments,EN,3,,,,,"GUI (Graphical User Interfaces) e EUP (End User Programming) são tecnologias convergentes. Elas devem ser utilizadas de maneira complementar para melhorar não só a usabilidade da interface com o usuário, mas também o entendimento do comportamento do sistema. Este artigo introduz questões relacionadas a EUP e GUI, e apresenta um caso de estudo com um sistema de animação por computador que usa o paradigma de EUP. Os projetistas do sistema apresentam os resultados desta experiência. Sua principal contribuição é harmonizar os paradigmas de GUI e EUP para diminuir a distância e integrar as capacidades de programadores e artistas à procura de um melhor entendimento do comportamento do sistema sob a perspectiva do usuário final.","GUI  (Graphical  User  Interfaces)  and  EUP  (End  UserProgramming)  are  converging  technologies.  They  should  beused  in  a  complementary  way  in  order  to  enhance  not  onlyinterface  usability  but  also  the  way  users  understand  systembehavior.  This  paper  introduces  EUP-  andGUI-relatedissues,  and  presents  a  case  study  carried  out  with  acomputer  animation  system  using  anEUP-like  approach.The  designers  of  the  EUP  language  report  the  lessonslearned  from  this  experience.  Its  main  contribution  lies  inharmonizing  GUI  and  EUP  approaches  in  order  to  shortenthe  gap  between  and  integrate  the  skills  of  computerscientists  and  artists  in  search  of  a  better  understanding  ofsystems  behavior  from  an  end  user  perspective.",
16,4522,1999,Virtual Bicycle: An User Interface Tool for Navigation in Virtual Worlds,EN,6,,,,,"Uma das tarefas mais difíceis quando se trabalha com mundos virtuais tridimensionais é a navegação. Em geral, este processo envolve o uso de botões e teclas e a criação de metáforas de interação que tornam o processo pouco natural e de eficiência reduzida. Neste ambientes, movimentos simples como baixar ou elevar a cabeça, andar para o lado ou para frente, tornam-se complicados e pouco naturais. Exemplos disto são os muito conhecidos navegadores Nestcape, Virtus, Internet Explorer, Worldtoolkit e outros. A partir desta dificuldade este trabalho desenvolveu um modelo interação para mundos virtuais tridimensionais baseado na interpretação dos movimentos reais do usuário. O modelo constitui um exemplo de interfaces do tipo non-WIMP(Window,Icon,Menu,Pointer). Para testar o modelo implementou-se um dispositivo(bicicleta virtual) a partir do qual o usuário pode navegar por um ambiente exatamente como se estivesse passeando de bicicleta.","One  of  the  most  complicated  tasks  whenworking  with  three-dimensional  virtual  worlds  isthe  navigation  process.  Usually,  this  processrequires  the  use  of    buttons  and    key-sequencesand  the  development  of  interaction  metaphorswhich  frequently  makes  the  interaction  processartificial  and  inefficient.  In  these  environments,very  simple  tasks,  like  look  upward  anddownward  can  became  extremely  complicated.To  overcome  these  obstacles,  this  work  presentsan  interaction  model  for  three-dimensionalvirtual  worlds,  based  on  the  interpretation  of    thenatural  gestures  of  a  real  user  while  he/she  iswalking    in  a  real  world.    This  model  is  anexample  of  a  non-WIMP(Window,  Icon,  Menu,Pointer)  interface.  To  test  this  model  we  createda  device  named  virtual-bike.  With  this  device,the  user  can  navigate  through  the  virtualenvironment  exactly  as  if  he  were  riding  a  realbike",
17,4523,1999,Interface Entendida Como um Espaço de Comunicação,PT-BR,2,,,,,Neste artigo discutimos a evolução do conceito de Interface Humano-Computador e mostramos as limitações dos modelos conceituais subjacentes às interfaces. Formalizamos um novo modelo conceitual para interfaces e mostramos como este modelo pode ser útil no desenvolvimento de teorias e metodologias de design. Em particular ilustramos os conceitos discutidos através de uma metodologia de design de interfaces que estamos desenvolvendo.,In  this  paper  we  discus  the  evolution  of  Human-ComputerInterface  concept  and  show  the  limitations  of  theunderlying  conceptual  models  of  interfaces.  We  formalize  anew  conceptual  model  for  interface  and  show  how  thismodel  can  be  useful  in  the  development  of  designmethodologies.  Specifically  we  illustrate  the  discussedconcepts  through  an  interface  design  methodology  that  weare  developing.,
18,4524,1999,Information technologies in services: old and new problems,EN,4,,,,,"O desing e a introdução de informação tecnológica no campo de trabalho serão discutidos no que diz respeito ao sector de serviços. Este sector devia ser uma das principais areas ergonómicas de estudo, pois precisa cada vez mais de forças de trabalho. A primeira parte da comunicação terá como objecto uma tentativa conceptual de focalizar arelação entre cliente e performer. A tese do autor consiste no facto que esta relação devia ser o alvo da intervenção ergonómica nos serviços. Na segunda parte será descrita uma avaliação ergonómica dum projecto ""call-center"", realizada por expertos em interação entre humano e computador. Este projecto é particularmente relevante pois é caracterizado por um processo altamente estructurado, tendo em conta a elevada quantidade de informação de que se precisa por cada chamada. Os resultados deste estudo serão discutidos considerando os aspectos tecnológicos e de organização do projecto. Por fim, estes resultados serão proporcionados tendo conta dos antigos e dos novos problemas em relação ao design e à introdução de informação tecnológica no lugar de trabalho.","Information  technology  design  and  its  introduction  in  theworkplace  will  be  discussed  with  respect  to  the  servicesector.  This  sector  should  be  one  of  the  main  ergonomicsfield  of  study,  as  it  continues  to  employ  a  growingmajority  of  the  workforce.  The  first  part  of  the  paper  isconcerned  with  a  tentative  conceptual  framework  for  theanalysis  of  the  client-performer  relation.  The  authors'thesis  is  that  such  relation  should  be  the  focus  ofergonomic  intervention  in  services.  In  the  second  part  anergonomic  evaluation  of  a  call  center  project,  performedby  experts  in  human-computer  interaction,  will  bedescribed.  This  project  is  particularly  relevant,  as  it  ischaracterized  by  a  highly  structured  process  flow  with  alarge  amount  of  data  to  be  requested  over  theconversation  that  takes  place  during  each  phone  call.Results  from  the  study  will  be  discussed  taking  intoconsideration  the  technological  and  organisationalaspects  of  the  project.  Finally,  these  results  will  be  shownto  account  for  the  old  and  new  problems  concerning  thedesign  and  introduction  of  information  technology  in  theworkplace.",
19,4525,1999,Projeto Granel - Investigando possibilidades da abordagem semiótica em design de interfaces,PT-BR,2,,,,,A literatura recente em IHC tem apontado para as potencialidades da perspectiva semiótica no entendimento do conceito de interface. Este artigo contribui à praxis da teoria semiótica em design de interfaces. Apresentamos um referencial teórico-metodológico para design de interfaces de software baseado na abordagem semiótica e o ilustramos apresentando o design do Granel: um sistema para cálculo de volumes de sólidos irregulares formados por fertilizante químico. O processo de design mostrado ilustra como buscou-se estabelecer relações de significação entre a realidade com o qual o usuário interage na tarefa e os elementos de interface do sistema criado.,The  recent  HCI  literature  has  addressed  the  potentialitiesof  the  semiotic  perspective  to  understand    the  interfaceconcept.  This  paper  aims  to  contribute  to  the  praxis  ofSemiotic  theory  in  interface  design.  We  present  aSemiotic-based  framework  for  the  design  of  softwareinterfaces  and  we    illustrate  it  with  the  design  of  Granel:  asystem  for  volume  calculation  of  chemical  fertilizer.  Thedesign  process  illustrates  how  to  establish  the  significancerelationships  between  the  reality    the  user  interacts  with  inthe  task  and  the  elements  of  the  system's  interface.,
20,4526,1999,A interferência das novas tecnologias e os perigos de sua generalização: uma avaliação ergonômica do voto eletrônico no Brasil,PT-BR,1,,,,,"O objetivo deste artigo é de analisar as repercussões da generalização das novas tecnologias de informação e comunicação -NTIC-, e eventualmente os perigos que elas representam para nossa vida cotidiana. Para ilustrar esta questão, foram avaliadas as qualidades ergonômicas do sistema eletrônico de voto utilizado atualmente no Brasil. Numa primeira etapa, uma inspeção ergonômica evidenciou problemas de usabilidade do ponto de vista de uma população dita sem problemas face às novas tecnologias. Testes de usabilidade realizados com as duas categorias de excluídos tecnológicos consideradas neste estudo, os cegos e os idosos, atestaram a incompatibilidade deste sistema face à populações sensíveis. Uma análise estatística dos resultados dos votos em eleições recentes parece confirmar os erros ergonômicos detectados, bem como o seu impacto sobre o conjunto da população, aí incluídos a grande maioria, dita normal face as novas tecnologias de informação e comunicação. Neste artigo é feito ainda, um pequeno balanço dos conhecimentos que a Ergonomia de Interfaces Humano-Computador oferece para o problema dos excluídos tecnológicos. Algumas propostas de soluções para a urna eletrônica são finalmente discutidas, bem como o papel que a ergonomia tem e terá que desempenhar face à exclusão tecnológica.","The  purpose  of  this  article  is  to  analyse  the  repercussions  ofthe  expanded  use  of  new  computer  and  communicationtechnologies,  and  the  potential    difficulties  that  they  presentto  our  daily  life.  To  illustrate  this  topic,  the  ergonomicqualities  of  the  computerised  voting  system  used  currentlyin  Brazil  were  evaluated.  In  the  first  stage,  an  ergonomicinspection  of  the  device  revealed  problems  of  usabilityamong  a  population  considered  able  to  utilise  the    newtechnologies.  Tests  of  usability  with  two  groups  of  peopleexcluded  from  the  use  of  this  technology,  the  blind  and  theaged,  certified  the  incompatibility  of  this  system  with  thesevulnerable  populations.  A  statistical  analysis  of  the  votingresults  in  recent  elections  confirm  the  detected  ergonomicproblems,  as  well  as  their  impact  on  that  portion  of  thepopulation,  considered  to  have  a  normal  relationship  withthe  new  computer  and  communication  technologies.  Thisarticle  also  offers  a  brief  review  of  the  contributions  thatthe  Ergonomics  of  the  Human-Computer  Interfaces  offerthe  problem  of  those  who  are  technologically  excluded.Some  proposed  solutions  for  the  interface  of  thecomputerised  voting  system  also  are  discussed,  as  well  asthe  role  that  ergonomics  has  and  will  have  to  play  in  thelight  of  technological  exclusion.",
21,4527,1999,Um Modelo de Apoio à Expressão de Projetistas de Interfaces Multi-usuário,PT-BR,2,,,,,"A Engenharia Semiótica percebe a interface de uma aplicação computacional como sendo um ato de comunicação unilateral do designer para usuários. Em aplicações mono-usuário esta mensagem transmite ao usuário a interpretação do designer sobre o seu problema e a forma de interagir com a aplicação para resolvê-lo. Em interfaces multi-usuário esta mensagem é ainda mais complexa, uma vez que deve também transmitir aos usuários a organização e os modos de colaboração do grupo. A Engenharia Semiótica evidencia a necessidade de se fornecer ao projetista de interfaces ferramentas e ambientes que o auxiliem na expressão da sua mensagem aos usuários, ou seja, a interface. Neste trabalho, apresentamos um modelo de arquitetura que serve de base ao desenvolvimento de ferramentas e ambientes que apóiem o designer de interfaces multi-usuário no planejamento desta. Para isto, ele permite que o designer descreva o seu modelo conceitual do grupo, e lhe fornece indicadores qualitativos sobre esta descrição, sem no entanto restringir sua criatividade ou poder de decisão.","Semiotic  Engineering  perceives  the  interface  of  acomputational  application  as  a  one-way  communication  actfrom  designer  to  users.  In  single-user  applications  thismessage  tells  the  users  the  designer’s  interpretation  oftheir  problem  and  how  to  interact  with  the  application  inorder  to  solve  it.  In  multi-user  interfaces  this  message  iseven  more  complex,  since  it  must  also  convey  to  users  theorganization  of  the  group  and  collaboration  means  betweenits  members.  Semiotic  Engineering  brings  forward  theneed  for  tools  and  environments  that  will  support  theplanning  of  multi-user  interfaces.  In  order  to  do  so,  theymust  allow  the  designers  to  describe  their  conceptualmodel  of  the  group,  provide  them  with  qualitativeindicators  on  this  description,  without,  however,constraining  their  creativity  or  power  to  decide.",
22,4528,1999,Uma Linguagem de Especificação para a Engenharia Semiótica de Interfaces de Usuário,PT-BR,2,,,,,"Na abordagem da Engenharia Semiótica para o design de interfaces de usuário o sistema é considerado um artefato de metacomunicação através do qual o designer envia para os usuários uma mensagem expressa através da interface, cujo conteúdo é o modelo conceitual da aplicação. A mensagem do designer tem uma natureza dinâmica e interativa, pois é formada pela conjunto de signos - palavras, gráficos, figuras, sons, etc. - trocados entre o usuário e sistema durante o processo de interação. Este trabalho contribui para a Engenharia Semiótica, apresentando um modelo para a interface como expressão da mensagem do designer e um formalismo lingüístico para a sua especificação. Com isto, o designer pode especificar a sua mensagem de forma estruturada e abstrata para depois mapeá-la em objetos de interfaces convencionais.","In  the  Semiotic  Engineering  approach  to  user  interfacedesign  computer  systems  are  considered  as  ametacommunication  artifact  that  conveys  a  message  fromthe  designer  to  the  user.  The  designer’s  message  content  isthe  application’s  conceptual  model,  and  its  expression  isthe  user  interface  itself,  which  has  a  dynamic  andinteractive  nature.  Our  work  contributes  to  SemioticEngineering  by  proposing  a  model  for  the  user  interface  asthe  expression  of  a  designer’s  message,  and  a  linguisticformalism  for  its  specification.  With  these  resources,  thedesigner  can  specify  his/her  message  in  a  structured  andabstract  way  and  map  this  specification  onto  conventionaluser  interface  objects.",
23,4529,1999,ERGONOMIA EM SOFTWARE EDUCACIONAL: A possível integração entre usabilidade e aprendizagem,PT-BR,5,,,,,"Este estudo é resultado parcial de um processo de avaliação ergonômica-pedagógica de um software educacional. O enfoque deste trabalho está centrado na avaliação de duas propriedades uma de caráter ergonômico - usabilidade - e outra de caráter pedagógico - aprendizagem. A metodologia desenvolvida consiste na aplicação das seguintes técnicas de avaliação: lista de verificação (Ergolist) para levantar os índices de aplicabilidade e de conformidade de critérios de usabilidade, e Ensaio de Interação para verificar a integração entre usabilidade e aprendizagem, tomando como pressuposto pedagógico o sistema de classificação de objetivos de aprendizagem segundo Bloom. Os resultados gerais indicam que há integração entre os critérios de maior conformidade em usabilidade com os critérios de aprendizagem definidos para validar a qualidade pedagógica do software. E que a integração pode ser um facilitador na aprendizagem.","This  study  is  resulted  partially  of  a  process  of  ergonomic-pedagogic  evaluation  of  an  educational  software.  Thefocus  of  this  work  is  centered  in  the  evaluation  of  twoproperties.  One  of  them  is  ergonomic  -  usability  -  andanother  is  pedagogic  -  learning.  The  developedmethodology  consists  in  application  of  the  followingevaluation  techniques:  verification  list  (Ergolist)  to  verifythe  applicability  and  conformity  indexes,  and  InteractionRehearsal  to  verify  the  integration  among  theseproperties,  taking  as  pedagogic  presupposition  theclassification  of  learning  objectives  system  by  Bloom.The  general  results  indicate  that  integration  exists  amongthe  criteria  of  larger  conformity  in  usability  and  hedefined  learning  criteria  to  validate  the  pedagogic  qualityof  the  analyzed  educational  software.  And  the  integrationcan  facilitate  the  learning.",
24,4530,1999,Integrando Fatores Humanos no Processo de Desenvolvimento de Interfaces Homem-Computador Adaptativas,PT-BR,1,,,,,"Este artigo apresenta uma nova metodologia de construção automática de interfaces homem-computador adaptativas. Esta metodologia integra fatores humanos no processo de desenvolvimento das interfaces, a fim de diminuir a complexidade do projeto das interfaces e melhorar a usabilidade das interfaces construídas. Fatores humanos considerados aqui, são relativos ao comportamento dos usuários, estudado pelos modelos cognitivos e às recomendações ergonômicas, encontradas em guias de concepção de interface. Mais precisamente, realizamos estudos sobre o comportamento do usuário tanto para facilitar a modelagem de suas necessidades, como para definir um mecanismo de adaptação das interfaces construídas. As recomendações ergonômicas são usadas para deduzir automaticamente aspectos relativos à interação homem-computador.","This  work  is  focused  on  presenting  a  new  method  to  buildautomatically  adaptive  user  interfaces.  This  methodintegrates  human  factors  into  development  process  ofinterfaces  in  order  to  both  decrease  the  interface  designcomplexity  and  to  ensure  the  design  of  more  effectivehuman-computer  interactions.  Human  factors  are  closedlinked  on  the  one  hand,  to  the  user's  behavior  studied  bythe  cognitive  models  and  on  the  other  hand,  to  theergonomic  principles  found  into  documents,  such  as  userinterface  guidelines.  More  specifically,  cognitive  modelsare  considered  to  help  the  designer  both  to  define  theuser  ́s  needs  and  to  design  interfaces  that  could  be  able  toadapt  themselves  to  the  user's  informational  needs.Ergonomic  principles  are  considered  to  deduceautomatically  some  aspects  of  human-computerinteractions.",
25,4531,1999,Making More Sense out of Users? Utterances,EN,2,,,,,"Este artigo trata de aplicações extensíveis sob uma perspectiva comunicativa. Nossa abordagem traz para a interface mecanismos poderosos de interpretação, que utilizam modelos do domínio e da aplicação para atribuir significado a enunciados não literais, para explicar como este significado foi alcançado e qual seria a expressão literal equivalente. Estes mecanismos geram, através de um processo de raciocínio abdutivo, metáforas e metonímias que podem explicar os enunciados dos usuários e ajudá-los a expressar suas intenções. Desta forma, também podem ser utilizados para ajudar os usuários a atingir dois objetivos: compreender os modelos subjacentes do domínio e da aplicação, se os mecanismos forem combinados com explicações; e obter uma forma mais eficiente de comunicação, com refinamentos retóricos, como destacar alguns aspectos de objetos e não outros.","This  article  addresses  extensible  applications  from  acommunicative  perspective.  Our  approach  brings  to  theuser  interface  powerful  interpretation  mechanisms,  thatmake  use  of  domain  and  application  models  to  assignmeaning  to  non-literal  user  input,  to  explain  to  users  howthis  meaning  was  reached  and  what  is  the  correspondingliteral  expression.  These  mechanisms  do  so  by  anabductive  process  of  generating  volatile  metaphors  andmetonymies  that  may  explain  users’  input  and  help  expressusers’  intentions.  In  this  way,  they  can  also  be  used  to  helpusers  achieve  two  goals.  First,  to  understand  theunderlying  domain  and  application  models,  if  combinedwith  explanations.  The  other  is  a  more  efficient  way  ofcommunication  that  can  serve  rhetorical  purposes  such  asfocusing  on  some  aspects  of  objects  and  not  others.",
26,4532,1999,A Method for Evaluating Software Communicability,EN,3,,,,,"Ferramentas computacionais são artefatos racionais determinados pela cultura do projetista e dos usuários. Comunicar premissas, escolhas e objetivos de design é uma tarefa complexa, sujeita a mal-entendidos e que leva a um amplo espectro de rupturas na interação humano- computador. Este trabalho apresenta um método que auxilia profissionais de IHC a avaliar a comunicabilidade de sistemas interativos; não apenas em termos da efetividade de suas mensagens diretas aos usuários, mas também dos fluxos de conversas disponibilizados que deveriam permitir que rupturas de interação fossem evitadas. A proposta está fundamentada em uma base teórica semiótica, na qual sistemas são ?porta-vozes? de seus designers.","Computer  tools  are  rational  artifacts  determined  by  thecultural  background  of  designers  and  users.Communicating  design  assumptions,  choices,  and  goals  is  acomplex  task,  subject  to  constant  misunderstandings  thatlead  to  a  wide  spectrum  of  breakdowns  in  human-computerinteraction.  This  paper  presents  a  method  to  help  HCIpractitioners  evaluate  the  communicability  of  interactivesystems,  not  only  in  terms  of  the  effectiveness  of  theirdirect  messages  to  users  but  also  of  the  affordedconversational  paths  that  should  allow  breakdowns  to  becircumvented.  The  whole  proposal  is  tied  to  a  semioticbackground  within  which  systems  are  like  “discoursedeputies”  of  their  designers.",
